Index,Season,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5
1920E0LIVNOR20190809,1920,E0,08/09/2019,20:00,Liverpool,Norwich,4,1,H,4,0,H,M Oliver,15,12,7,5,9,9,11,2,0,2,0,0,1.16,10,23,1.14,8.75,19.83,1.45,3.11,1.41,2.92,1.16,10.5,23,1.14,9.52,19.18,1.36,3.76,1.32,3.43
1920E0WHUMCI20190810,1920,E0,08/10/2019,12:30,West Ham,Man City,0,5,A,0,1,A,M Dean,5,14,3,9,6,13,1,1,2,2,0,0,13,6.75,1.29,11.84,6.28,1.25,1.51,2.77,1.48,2.65,13,7,1.29,11.14,6.46,1.26,1.5,3.22,1.41,2.91
1920E0BOUSHU20190810,1920,E0,08/10/2019,15:00,Bournemouth,Sheffield United,1,1,D,0,0,D,K Friend,13,8,3,3,10,19,3,4,2,1,0,0,2.06,3.65,4,2.01,3.53,3.83,2,1.99,1.9,1.93,2.03,3.7,4.2,1.98,3.58,3.96,1.97,1.98,1.91,1.92
1920E0BURSOU20190810,1920,E0,08/10/2019,15:00,Burnley,Southampton,3,0,H,0,0,D,G Scott,10,11,4,3,6,12,2,7,0,0,0,0,2.8,3.33,2.85,2.68,3.22,2.78,2.2,1.78,2.12,1.73,2.72,3.26,2.95,2.65,3.18,2.88,2.25,1.78,2.17,1.71
1920E0CRYEVE20190810,1920,E0,08/10/2019,15:00,Crystal Palace,Everton,0,0,D,0,0,D,J Moss,6,10,2,3,16,14,6,2,2,1,0,1,3.21,3.4,2.52,3.13,3.27,2.4,2.25,1.74,2.18,1.7,3.55,3.5,2.34,3.41,3.37,2.23,2.28,1.77,2.17,1.71
1920E0WATBHA20190810,1920,E0,08/10/2019,15:00,Watford,Brighton,0,3,A,0,1,A,C Pawson,11,5,3,3,15,11,5,2,0,1,0,0,2,3.5,4.6,1.94,3.41,4.26,2.24,1.76,2.16,1.71,2.15,3.38,4.2,2.07,3.27,4.04,2.2,1.78,2.14,1.73
1920E0TOTAVL20190810,1920,E0,08/10/2019,17:30,Tottenham,Aston Villa,3,1,H,0,1,A,C Kavanagh,31,7,7,4,13,9,14,0,1,0,0,0,1.33,5.95,12,1.3,5.53,10.51,1.7,2.4,1.65,2.26,1.4,5.7,10,1.36,5.29,8.82,1.65,2.55,1.58,2.4
1920E0LEIWOL20190811,1920,E0,08/11/2019,14:00,Leicester,Wolves,0,0,D,0,0,D,A Marriner,15,8,1,2,3,13,12,3,0,2,0,0,2.29,3.38,3.66,2.22,3.28,3.48,2.25,1.74,2.17,1.7,2.55,3.25,3.58,2.41,3.14,3.29,2.45,1.71,2.33,1.62
1920E0NEWARS20190811,1920,E0,08/11/2019,14:00,Newcastle,Arsenal,0,1,A,0,0,D,M Atkinson,9,8,2,2,12,7,5,3,1,3,0,0,4.7,4,1.83,4.49,3.82,1.79,1.83,2.14,1.77,2.07,3.76,3.65,2.25,3.36,3.51,2.2,1.85,2.17,1.79,2.05
1920E0UTDCHE20190811,1920,E0,08/11/2019,16:30,Man United,Chelsea,4,0,H,1,0,H,A Taylor,11,18,5,7,15,13,3,5,3,4,0,0,2.28,3.43,3.63,2.19,3.32,3.49,2.1,1.87,2.01,1.83,2.2,3.5,4.4,2.05,3.36,3.99,2.07,2.04,1.99,1.84
