team_name,team_code,round,dayofweek,date,comp,venue,result,opponent,goals_for,goals_against,xg_for,xg_against,possession,attendance,captain,formation,referee,shots,shots_on_target,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,expected_goals,expected_goals_non_penalty,expected_goals_non_penalty_per_shot,expected_goals_net,expected_goals_non_penalty_net,shots_against,shots_on_target_against,shots_on_target_pct_against,goals_per_shot_against,goals_per_shot_on_target_against,average_shot_distance_against,shots_free_kicks_against,pens_made_against,pens_att_against,expected_goals_against,expected_goals_non_penalty_against,expected_goals_non_penalty_per_shot_against,expected_goals_net_against,expected_goals_non_penalty_net_against,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,sca_against,sca_passes_live_against,sca_passes_dead_against,sca_take_ons_against,sca_shots_against,sca_fouled_against,sca_defense_against,gca_against,gca_passes_live_against,gca_passes_dead_against,gca_take_ons_against,gca_shots_against,gca_fouled_against,gca_defense_against,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,cards_yellow_against,cards_red_against,cards_yellow_red_against,fouls_against,fouled_against,offsides_against,crosses_against,interceptions_against,tackles_won_against,pens_won_against,pens_conceded_against,own_goals_against,ball_recoveries_against,aerials_won_against,aerials_lost_against,aerials_won_pct_against
Arsenal,18bb7c10,Matchweek 1,Sat,2023-08-12,EPL,Home,W,Nott'ham Forest,2,1,0.8,1.2,78,"59,984",Martin Ødegaard,4-3-3,Michael Oliver,15,7,46.7,0.13,0.29,19.1,0,0,0,0.8,0.8,0.06,+1.2,+1.2,6,2,33.3,0.17,0.50,17.3,0,0,0,1.2,1.2,0.20,-0.2,-0.2,30,28,0,2,0,0,0,4,3,0,1,0,0,0,10,7,1,1,0,1,0,2,2,0,0,0,0,0,2,0,0,12,12,2,14,7,15,0,0,0,48,12,20,37.5,2,0,0,12,12,1,6,8,10,0,0,0,34,20,12,62.5
Arsenal,18bb7c10,Matchweek 2,Mon,2023-08-21,EPL,Away,W,Crystal Palace,1,0,2.0,1.0,53,"24,189",Martin Ødegaard,4-3-3,David Coote,13,2,15.4,0.00,0.00,16.4,0,1,1,2.0,1.2,0.09,-1.0,-1.2,14,2,14.3,0.00,0.00,16.4,1,0,0,1.0,1.0,0.07,-1.0,-1.0,26,17,4,1,2,2,0,2,0,1,0,0,1,0,25,16,1,1,3,2,2,0,0,0,0,0,0,0,3,1,1,10,13,2,21,8,7,1,0,0,44,13,14,48.1,2,0,0,14,10,0,21,5,10,0,1,0,43,14,13,51.9
Arsenal,18bb7c10,Matchweek 3,Sat,2023-08-26,EPL,Home,D,Fulham,2,2,3.2,0.6,71,"59,961",Martin Ødegaard,4-3-3,Paul Tierney,18,9,50.0,0.06,0.11,13.8,0,1,1,3.2,2.4,0.14,-1.2,-1.4,8,3,37.5,0.25,0.67,17.8,0,0,0,0.6,0.6,0.07,+1.4,+1.4,34,27,2,1,3,1,0,3,2,0,0,0,1,0,9,4,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,6,5,4,32,6,8,1,0,0,56,9,14,39.1,6,1,1,5,5,1,11,6,10,0,1,0,50,14,9,60.9
Arsenal,18bb7c10,Matchweek 4,Sun,2023-09-03,EPL,Home,W,Manchester Utd,3,1,2.3,0.9,55,"60,192",Martin Ødegaard,4-3-3,Anthony Taylor,17,5,29.4,0.18,0.60,15.0,0,0,0,2.3,2.3,0.13,+0.7,+0.7,10,2,20.0,0.10,0.50,16.5,0,0,0,0.9,0.9,0.09,+0.1,+0.1,31,23,4,3,1,0,0,6,3,1,1,1,0,0,16,11,0,2,2,0,1,2,1,0,0,0,0,1,2,0,0,8,7,2,26,8,8,0,0,0,48,13,13,50.0,3,0,0,7,8,1,3,8,6,0,0,0,41,13,13,50.0
Arsenal,18bb7c10,Matchweek 5,Sun,2023-09-17,EPL,Away,W,Everton,1,0,1.0,0.3,74,"39,217",Martin Ødegaard,4-3-3,Simon Hooper,13,4,30.8,0.08,0.25,17.4,0,0,0,1.0,1.0,0.08,0.0,0.0,8,1,12.5,0.00,0.00,21.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,22,15,1,2,3,0,1,2,2,0,0,0,0,0,15,12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,10,12,4,18,6,8,0,0,0,45,9,10,47.4,1,0,0,12,8,1,5,10,13,0,0,0,41,10,9,52.6
Arsenal,18bb7c10,Matchweek 6,Sun,2023-09-24,EPL,Home,D,Tottenham,2,2,1.8,1.4,47,"60,156",Martin Ødegaard,4-3-3,Robert Jones,12,4,33.3,0.00,0.00,16.9,0,1,1,1.8,1.2,0.10,-0.8,-1.2,13,5,38.5,0.15,0.40,16.0,0,0,0,1.4,1.4,0.11,+0.6,+0.6,21,13,4,0,3,0,1,1,0,0,0,1,0,0,22,17,0,1,1,1,2,4,2,0,1,0,0,1,3,0,0,12,18,2,20,11,12,0,0,0,46,14,8,63.6,4,0,0,19,11,3,10,6,15,0,1,1,49,8,14,36.4
Arsenal,18bb7c10,Matchweek 7,Sat,2023-09-30,EPL,Away,W,Bournemouth,4,0,3.4,0.6,57,"11,193",Martin Ødegaard,4-3-3,Michael Salisbury,13,6,46.2,0.15,0.33,15.5,0,2,2,3.4,1.9,0.14,+0.6,+0.1,8,1,12.5,0.00,0.00,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,28,18,2,3,2,3,0,7,2,1,0,1,3,0,15,12,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,10,11,0,4,9,10,2,0,0,46,9,6,60.0,0,0,0,11,7,2,15,9,9,0,2,0,45,6,9,40.0
Arsenal,18bb7c10,Matchweek 8,Sun,2023-10-08,EPL,Home,W,Manchester City,1,0,0.4,0.5,49,"60,233",Martin Ødegaard,4-3-3,Michael Oliver,12,2,16.7,0.08,0.50,19.2,0,0,0,0.4,0.4,0.03,+0.6,+0.6,4,0,0.0,0.00,,14.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,23,14,3,2,3,0,1,2,2,0,0,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,7,2,11,9,12,0,0,0,42,5,8,38.5,3,0,0,7,8,0,10,5,12,0,0,0,43,8,5,61.5
Arsenal,18bb7c10,Matchweek 9,Sat,2023-10-21,EPL,Away,D,Chelsea,2,2,1.0,1.3,56,"39,723",Martin Ødegaard,4-3-3,Chris Kavanagh,13,3,23.1,0.15,0.67,14.3,0,0,0,1.0,1.0,0.08,+1.0,+1.0,10,4,40.0,0.10,0.25,20.4,0,1,1,1.3,0.6,0.06,+0.7,+0.4,21,11,4,1,3,1,1,2,2,0,0,0,0,0,16,10,0,1,2,0,3,2,1,0,0,1,0,0,3,0,0,14,7,1,16,9,9,0,1,0,54,15,15,50.0,3,0,0,7,13,2,8,9,10,0,0,0,59,15,15,50.0
Arsenal,18bb7c10,Matchweek 10,Sat,2023-10-28,EPL,Home,W,Sheffield Utd,5,0,2.8,0.0,67,"60,153",Bukayo Saka,4-3-3,Tim Robinson,12,6,50.0,0.33,0.67,17.0,0,1,1,2.8,2.0,0.17,+2.2,+2.0,2,0,0.0,0.00,,39.9,0,0,0,0.0,0.0,0.02,0.0,0.0,24,16,2,3,1,2,0,9,3,2,1,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,17,8,4,1,0,0,49,11,10,52.4,3,0,0,13,9,1,5,8,13,0,1,0,40,10,11,47.6
